,회사명,종목코드,상장일
539,경기은행,006320.KS,1972-03-30
540,극동필트론,028910.KS,1976-12-28
541,금성유업,028840.KS,1975-07-11
542,금하방직,007790.KS,1988-12-24
543,나우정밀,015340.KS,1987-11-28
544,남선전기,028730.KS,1956-03-03
545,대창건설,029090.KS,1977-11-12
546,동북아27호,089170.KS,2006-05-19
547,동북아30호,089200.KS,2006-05-19
548,동성판유리,028850.KS,1972-05-17
549,동신제지,016430.KS,1987-06-23
550,동양건설,005900.KS,1974-08-26
551,동양밸류스팩,122290.KS,2010-03-25
552,두산기계,005040.KS,1988-09-07
553,두산음료,004600.KS,1975-09-12
554,맥쿼리센트럴,076850.KS,2004-01-08
555,모토조이,008120.KS,1988-10-13
556,미래에셋증권,037620.KS,2006-02-15
557,사조해표,079660.KS,2004-09-21
558,삼성반도체통신,028420.KS,1984-09-05
559,삼화,028440.KS,1974-06-12
560,서통화학,029050.KS,1974-03-11
561,석락산업,029070.KS,1978-05-19
562,센추리,006750.KS,1989-11-09
563,셰프라인,012250.KS,1993-02-05
564,수도극장,028720.KS,1957-07-01
565,신강제지,019380.KS,1990-04-02
566,신한인터내쇼날,012300.KS,1989-11-08
567,신한전자,008650.KS,1989-12-01
568,쌍용제지,005100.KS,1991-12-23
569,아시아2호,081190.KS,2004-12-27
570,엔케이텔레콤,003290.KS,1988-09-08
571,영태전자공업,028530.KS,1988-06-18
572,오리온전기,004390.KS,1974-03-30
573,우리은행,000030.KS,2014-11-19
574,우아미,015550.KS,1977-06-18
575,유니온스틸,003640.KS,1973-06-30
576,이트로닉스,013090.KS,1986-11-20
577,장은증권,001170.KS,1988-10-14
578,제일스레트공업,028830.KS,1970-02-20
579,천지산업,001490.KS,1976-12-24
580,케이와이씨,009400.KS,1988-09-05
581,케이피케미칼,064420.KS,2002-06-21
582,코리아02호,090980.KS,2006-07-21
583,코오롱아이넷,022520.KS,2011-07-19
584,코오롱포리에스타,029020.KS,1975-06-23
585,태영판지공업,011940.KS,1989-11-06
586,퍼시픽글라스,009080.KS,1977-06-30
587,포스닉,008480.KS,1987-07-24
588,풀무원식품,103160.KS,2008-07-29
589,한강기금,036060.KS,1999-12-15
590,한국기술산업,008320.KS,1989-09-29
591,한국벨트,000840.KS,1988-10-13
592,한국증권금융,028820.KS,1956-03-03
593,한국프라스틱공업,028430.KS,1976-06-11
594,한국합섬,025830.KS,1995-10-05
595,한독맥주,028880.KS,1975-04-09
596,한별텔레콤,016550.KS,1989-08-25
597,한보철강공업,001920.KS,1977-09-21
598,한외종금,014150.KS,1989-09-09
599,현대금속,018410.KS,1989-07-25
600,호남비료,028790.KS,1966-03-18
601,CJ대한통운,000120.KS,1956-07-02
602,DSR제강,069730.KS,2003-01-28
603,GKL,114090.KS,2009-11-19
604,JW중외제약,001060.KS,1976-06-14
605,KPX홀딩스,092230.KS,2006-10-12
606,KSS해운,044450.KS,2007-10-26
