,회사명,종목코드,상장일
335,신한캐피탈,023780.KQ,1994-11-07
336,쌍용건설,012650.KQ,1993-01-28
337,쎄라텍,041550.KQ,2000-07-11
338,씨그널엔터테인먼트그룹,099830.KQ,2011-01-24
339,씨엔씨엔터,038420.KQ,2000-08-08
340,아이스테이션,056010.KQ,2002-08-13
341,아큐텍,013780.KQ,1997-08-18
342,액티투오,047710.KQ,2001-07-20
343,야호,059720.KQ,2002-01-17
344,에이스일렉,038690.KQ,2000-06-29
345,엔터미디어,068420.KQ,2003-07-01
346,엠씨티티코어,052210.KQ,2002-12-23
347,오브제,058680.KQ,2002-06-11
348,오상헬스케어,036220.KQ,2007-06-05
349,유니텍전자,039040.KQ,2000-03-21
350,유리배분일,037530.KQ,1999-12-24
351,유리크레디트회사채혼,051990.KQ,2001-03-05
352,유진스팩3호,221200.KQ,2015-09-09
353,으뜸저축은행,032150.KQ,1997-01-17
354,이베스트스팩3호,225440.KQ,2015-10-19
355,인베스티움사파이어전,034330.KQ,1999-08-13
356,인터파크,108790.KQ,2014-02-06
357,자유투어,046840.KQ,2001-07-10
358,잘만테크,090120.KQ,2007-05-22
359,제이테크놀로지,035480.KQ,1999-11-18
360,제일곡산,011890.KQ,1996-07-01
361,지디,155960.KQ,2013-02-13
362,청람디지탈,035270.KQ,1999-08-13
363,카라반케이디이,032570.KQ,1997-04-22
364,케이비제8호스팩,222390.KQ,2015-08-05
365,케이에스알,066340.KQ,2003-02-07
366,케이엔티,036590.KQ,2001-05-10
367,케이티씨텔레콤,055810.KQ,2003-11-07
368,코썬바이오,204990.KQ,2016-12-09
369,큐리어스,045050.KQ,2001-08-02
370,택산아이엔씨,036900.KQ,2000-01-11
371,티이씨,067950.KQ,2004-01-26
372,평안물산,037240.KQ,1999-12-14
373,포휴먼,049690.KQ,2002-01-08
374,피죤,002750.KQ,1996-07-01
375,피코소프트,039580.KQ,2000-07-06
376,하나머스트3호스팩,208870.KQ,2014-12-24
377,한국코인,007560.KQ,1996-07-01
378,한마음저축은행,025450.KQ,1995-05-22
379,한빛네트,036720.KQ,2001-11-08
380,한빛전자통신,044570.KQ,2001-12-28
381,한영전자,008860.KQ,1996-07-01
382,한일,022610.KQ,1996-04-15
383,한화SV스팩1호,124050.KQ,2010-07-09
384,한화에이스스팩3호,264290.KQ,2017-05-02
385,해원에스티,058480.KQ,2002-01-15
386,현주컴퓨터,038960.KQ,2001-05-15
387,APS홀딩스,054620.KQ,2001-12-04
388,CJ ENM,035760.KQ,1999-11-23
389,CMG제약,058820.KQ,2001-08-31
390,CS,065770.KQ,2004-06-04
391,CSA 코스믹,083660.KQ,2006-07-25
392,EG,037370.KQ,2000-01-11
393,HRS,036640.KQ,2000-05-30
394,NICE평가정보,030190.KQ,2000-05-16
395,PN풍년,024940.KQ,1995-01-04
396,SCI평가정보,036120.KQ,1999-12-07
397,SM C&C,048550.KQ,2001-01-18
398,UCI,038340.KQ,2001-11-22
399,감마누,192410.KQ,2014-08-14
400,강스템바이오텍,217730.KQ,2015-12-21
401,게임빌,063080.KQ,2009-07-30
402,경남바이오파마,044480.KQ,2001-01-11
403,경남제약헬스케어,223310.KQ,2015-12-24
404,고영,098460.KQ,2008-06-03
405,광림,014200.KQ,1993-07-07
406,국영지앤엠,006050.KQ,1994-10-07
407,나노엔텍,039860.KQ,2000-08-16
408,나이벡,138610.KQ,2011-07-13
409,남화토건,091590.KQ,2012-01-31
410,네오팜,092730.KQ,2007-01-30
